Frame number,453
First frame,1
Point frequency,100
Analog frequency,1000

Left_Foot Strike,0.25,1.3,2.35,3.4
Right_Foot Strike,0.77,1.83,2.88,3.94
Left_Foot Off,0.88,1.93,2.98,4.05
Right_Foot Off,1.4,2.45,3.51

Time,LANK,,,LPSI,,,RTIB,,,RASI,,,RANK,,,RKNE,,,RTOE,,,LASI,,,LHEE,,,RHEE,,,LTOE,,,LTIB,,,LTHI,,,RTHI,,,LKNE,,,RPSI,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.31,243.712,2273.3,70.6596,146.17,2583.85,954.182,-48.7887,2649.67,359.67,6.50679,2369.84,881.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32,243.806,2271.32,71.1799,148.005,2570.55,954.933,-49.3317,2630.44,361.406,9.03603,2356.34,881.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,243.741,2270.05,71.6171,149.722,2557.56,955.566,-49.9547,2609.81,362.939,11.4658,2343,882.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34,243.584,2269.34,71.9501,151.339,2544.86,956.086,-50.6068,2587.92,364.306,13.7941,2329.82,883.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,243.396,2269.03,72.188,152.871,2532.43,956.528,-51.2212,2564.95,365.572,16.0203,2316.8,885.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36,243.225,2268.93,72.3531,154.332,2520.25,956.952,-51.7207,2541.09,366.819,18.1458,2303.92,886.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,243.098,2268.92,72.4686,155.725,2508.26,957.439,-52.0289,2516.55,368.131,20.1746,2291.17,888.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38,243.02,2268.91,72.5538,157.043,2496.44,958.072,-52.0832,2491.54,369.586,22.1133,2278.55,890.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39,242.986,2268.84,72.6235,158.264,2484.73,958.926,-51.8466,2466.25,371.238,23.9711,2266.04,893.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,242.981,2268.7,72.6894,159.354,2473.11,960.045,-51.3125,2440.85,373.107,25.7589,2253.62,895.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41,242.986,2268.5,72.7607,160.272,2461.55,961.435,-50.503,2415.45,375.176,27.4882,2241.27,898.193,38.9493,2631.85,250.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,242.982,2268.26,72.8457,160.975,2450.04,963.062,-49.4614,2390.15,377.394,29.17,2228.98,900.978,39.9049,2606.27,252.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43,242.954,2268,72.9525,161.429,2438.57,964.857,-48.2417,2365,379.681,30.8137,2216.74,903.833,40.838,2580.22,252.743,-26.2707,2251.97,446.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.44,242.89,2267.74,73.0882,161.61,2427.13,966.735,-46.9002,2340.05,381.94,32.4259,2204.52,906.709,41.7532,2553.68,252.171,-25.2634,2227.66,450.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45,242.787,2267.49,73.2577,161.515,2415.74,968.603,-45.4879,2315.31,384.064,34.01,2192.34,909.556,42.659,2526.67,250.322,-24.2517,2203.89,454.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,242.648,2267.24,73.4636,161.157,2404.39,970.384,-44.0483,2290.79,385.947,35.5661,2180.17,912.323,43.5659,2499.17,247.222,-23.2339,2180.66,458.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.47,242.482,2267.01,73.7051,160.569,2393.09,972.013,-42.618,2266.51,387.488,37.0914,2168.01,914.959,44.4814,2471.19,242.905,-22.208,2157.97,462.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.48,242.301,2266.79,73.9798,159.799,2381.83,973.452,-41.2279,2242.45,388.598,38.5801,2155.85,917.416,45.4074,2442.7,237.41,-21.1731,2135.83,466.82,46.2268,2383.67,99.7022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.49,242.114,2266.59,74.2844,158.901,2370.61,974.676,-39.9043,2218.61,389.203,40.0244,2143.71,919.65,46.3409,2413.68,230.787,-20.1289,2114.27,470.598,46.5298,2347.09,97.2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,241.924,2266.4,74.6169,157.932,2359.44,975.678,-38.6692,2194.98,389.25,41.4144,2131.56,921.62,47.2746,2384.1,223.092,-19.0741,2093.32,474.217,46.7543,2309.82,94.3294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.51,241.727,2266.22,74.9792,156.941,2348.3,976.457,-37.5406,2171.57,388.703,42.7394,2119.41,923.292,48.1959,2353.92,214.397,-18.0066,2073.01,477.62,46.8875,2271.84,90.9673,289.932,2112.08,928.589,184.385,2319.06,40.5135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.52,241.519,2266.03,75.3788,155.969,2337.18,977.018,-36.5316,2148.38,387.543,43.9884,2107.26,924.639,49.0831,2323.07,204.791,-16.9228,2053.38,480.745,46.8995,2233.21,87.2095,291.097,2102.01,927.55,184.276,2318.86,40.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53,241.29,2265.84,75.8304,155.041,2326.08,977.365,-35.6481,2125.43,385.771,45.1503,2095.11,925.638,49.9015,2291.52,194.381,-15.8171,2034.51,483.52,46.7387,2193.98,83.1536,292.151,2091.86,926.411,184.1,2318.65,41.4467,119.016,2339.67,193.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.54,241.034,2265.63,76.353,154.169,2315,977.495,-34.8861,2102.76,383.41,46.2151,2082.95,926.276,50.6021,2259.21,183.293,-14.6826,2016.42,485.87,46.3353,2154.22,78.948,293.096,2081.64,925.173,183.858,2318.44,42.0963,120.121,2307.06,177.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55,240.749,2265.4,76.9636,153.352,2303.9,977.407,-34.2318,2080.41,380.506,47.1742,2070.76,926.546,51.1259,2226.09,171.684,-13.5115,1999.19,487.723,45.6166,2114.02,74.779,293.931,2071.34,923.836,183.553,2318.23,42.8651,120.931,2273.21,161.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.56,240.43,2265.15,77.6703,152.58,2292.79,977.095,-33.6678,2058.42,377.121,48.0202,2058.56,926.448,51.4089,2192.12,159.747,-12.2977,1982.84,489.013,44.5305,2073.46,70.8563,294.658,2060.96,922.402,183.192,2318.03,43.7479,121.433,2238.16,145.459,232.418,2112.38,42.1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.57,240.086,2264.89,78.4714,151.835,2281.63,976.554,-33.1791,2036.84,373.341,48.7477,2046.33,925.991,51.3848,2157.28,147.721,-11.0386,1967.42,489.694,43.0641,2032.63,67.4043,295.278,2050.5,920.874,182.79,2317.85,44.737,121.597,2201.94,129.886,232.361,2112.42,42.1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,239.732,2264.62,79.3566,151.097,2270.41,975.788,-32.7563,2015.7,369.264,49.3534,2034.05,925.188,50.9897,2121.59,135.887,-9.73755,1952.93,489.74,41.2477,1991.6,64.6598,295.794,2039.95,919.259,182.373,2317.7,45.826,121.375,2164.62,114.739,232.299,2112.46,42.1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.59,239.397,2264.32,80.3097,150.345,2259.1,974.805,-32.3952,1995.01,365.008,49.836,2021.72,924.061,50.1708,2085.06,124.559,-8.40581,1939.36,489.153,39.1551,1950.46,62.868,296.209,2029.3,917.565,181.978,2317.59,47.0132,120.702,2126.31,100.266,232.233,2112.51,42.1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,239.116,2263.99,81.3135,149.558,2247.68,973.619,-32.0967,1974.76,360.706,50.1965,2009.32,922.637,48.8965,2047.82,114.061,-7.0615,1926.65,487.964,36.9009,1909.36,62.2687,296.526,2018.56,915.802,181.65,2317.5,48.3048,119.515,2087.19,86.7635,232.167,2112.56,42.2324,311.086,2209.77,264.939,0,0,0,0,0,0,0,0,0,0,0,0
