Frame number,89
First frame,128
Point frequency,100
Analog frequency,1000

Left_Foot Strike,1.38
Right_Foot Off,1.52
Right_Foot Strike,2
Left_Foot Off,2.14

Time,LPSI,,,RPSI,,,RTOE,,,LHEE,,,LKNE,,,LTIB,,,RTIB,,,LANK,,,RTHI,,,LTHI,,,RANK,,,RKNE,,,RHEE,,,LTOE,,,RASI,,,LASI,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1.48,54.5575,-1335.02,894.161,151.263,-1334.97,896.36,163.364,-1529.29,25.2613,76.9784,-1079.58,20.0639,-25.171,-1091,431.52,-23.8327,-1053.96,198.467,254.439,-1466.99,338.017,26.4271,-1032.54,48.8119,288.009,-1265.97,639.117,-47.4561,-1130.56,576.384,190.504,-1611.08,134.979,235.428,-1361.41,427.014,138.271,-1657.63,149.691,53.8959,-894.827,38.0427,216.502,-1150.92,870.044,10.2981,-1145.81,896.17
1.49,53.9815,-1322.88,896.144,150.829,-1322.57,897.3,163.492,-1525.49,27.8389,76.4513,-1079.13,20.7398,-26.3016,-1083.2,432.513,-24.4933,-1049.56,198.859,254.564,-1448.29,340.241,26.1987,-1031.37,49.0812,286.36,-1250.03,638.296,-48.5898,-1120.49,577.97,191.111,-1599.25,143.45,235.268,-1340.58,425.699,138.489,-1644.08,160.902,54.5407,-893.698,36.3687,215.12,-1138.61,871.011,9.21392,-1133.5,898.208
1.5,53.3252,-1310.97,898.147,150.294,-1310.51,898.263,163.802,-1520.15,31.2726,75.9561,-1078.8,21.2415,-27.5188,-1076.15,433.377,-25.211,-1045.85,199.163,254.81,-1428.26,342.318,25.943,-1030.49,49.3492,284.728,-1233.96,637.444,-49.7448,-1110.94,579.491,191.705,-1585.92,152.286,235.21,-1318.75,424.283,138.857,-1629.19,172.387,54.9613,-892.864,35.177,213.773,-1126.64,872.075,8.14758,-1121.39,900.241
1.51,52.5814,-1299.3,900.14,149.648,-1298.8,899.233,164.345,-1512.95,35.5393,75.504,-1078.6,21.5848,-28.7998,-1069.82,434.104,-25.9763,-1042.78,199.37,255.162,-1406.99,344.27,25.6678,-1029.87,49.5819,283.133,-1217.84,636.599,-50.9033,-1101.96,580.917,192.265,-1571.1,161.346,235.239,-1296.06,422.863,139.342,-1612.99,183.916,55.1748,-892.267,34.3467,212.476,-1115.02,873.222,7.10554,-1109.49,902.23
1.52,51.7477,-1287.87,902.097,148.882,-1287.44,900.201,165.164,-1503.62,40.5476,75.1015,-1078.51,21.7984,-30.1211,-1064.13,434.696,-26.7791,-1040.27,199.48,255.594,-1384.62,346.131,25.3827,-1029.46,49.76,281.599,-1201.75,635.81,-52.0524,-1093.54,582.223,192.767,-1554.8,170.454,235.338,-1272.63,421.546,139.878,-1595.55,195.215,55.2117,-891.845,33.7669,211.24,-1103.78,874.443,6.09216,-1097.82,904.141
1.53,50.8267,-1276.67,903.994,147.997,-1276.42,901.159,166.28,-1491.93,46.1454,74.7501,-1078.5,21.917,-31.4589,-1059.03,435.156,-27.6067,-1038.25,199.5,256.068,-1361.31,347.949,25.0981,-1029.21,49.8764,280.151,-1185.76,635.137,-53.1832,-1085.68,583.391,193.181,-1537.06,179.418,235.485,-1248.64,420.441,140.376,-1576.94,205.994,55.1116,-891.544,33.3454,210.074,-1092.89,875.726,5.1094,-1086.37,905.943
1.54,49.8257,-1265.71,905.812,146.998,-1265.73,902.102,167.681,-1477.75,52.1306,74.447,-1078.55,21.9751,-32.7901,-1054.42,435.497,-28.4451,-1036.61,199.442,256.54,-1337.25,349.774,24.8243,-1029.08,49.9346,278.815,-1169.93,634.642,-54.2886,-1078.33,584.412,193.482,-1517.97,188.031,235.663,-1224.25,419.653,140.753,-1557.23,215.968,54.9191,-891.317,33.013,208.981,-1082.34,877.066,4.15669,-1075.15,907.612
1.55,48.7569,-1254.96,907.535,145.898,-1255.34,903.031,169.323,-1461.02,58.2614,74.1874,-1078.64,22.0029,-34.0932,-1050.22,435.729,-29.2786,-1035.27,199.321,256.963,-1312.61,351.662,24.5706,-1029.03,49.9449,277.611,-1154.33,634.383,-55.3625,-1071.44,585.287,193.654,-1497.61,196.087,235.851,-1199.6,419.272,140.947,-1536.5,224.89,54.6781,-891.13,32.7243,207.959,-1072.12,878.455,3.2312,-1064.16,909.129
1.56,47.6364,-1244.43,909.151,144.714,-1245.23,903.948,171.132,-1441.8,64.274,73.9663,-1078.74,22.0238,-35.3495,-1046.36,435.867,-30.0909,-1034.13,199.151,257.294,-1287.6,353.66,24.3446,-1029.01,49.9221,276.555,-1138.98,634.408,-56.3989,-1064.93,586.021,193.697,-1476.1,203.392,236.035,-1174.86,419.368,140.928,-1514.84,232.561,54.4275,-890.955,32.4544,207.002,-1062.18,879.888,2.32809,-1053.38,910.482
1.57,46.4837,-1234.07,910.653,143.47,-1235.35,904.859,173.021,-1420.25,69.9072,73.7797,-1078.85,22.0535,-36.5443,-1042.75,435.926,-30.8647,-1033.12,198.95,257.496,-1262.39,355.807,24.1523,-1029,49.882,275.652,-1123.89,634.749,-57.3929,-1058.73,586.627,193.625,-1453.56,209.769,236.202,-1150.15,419.986,140.705,-1492.35,238.832,54.1973,-890.778,32.1931,206.1,-1052.49,881.359,1.4411,-1042.8,911.664
1.58,45.3208,-1223.89,912.035,142.193,-1225.67,905.769,174.895,-1396.55,74.9266,73.626,-1078.94,22.101,-37.6673,-1039.33,435.921,-31.583,-1032.16,198.729,257.543,-1237.15,358.118,23.9986,-1028.99,49.8386,274.9,-1109.07,635.419,-58.3416,-1052.77,587.117,193.464,-1430.09,215.067,236.343,-1125.61,421.146,140.318,-1469.14,243.603,54.0074,-890.587,31.9387,205.244,-1043,882.86,0.563288,-1032.42,912.672
1.59,44.1712,-1213.86,913.295,140.913,-1216.15,906.684,176.667,-1370.92,79.1438,73.5059,-1079.01,22.1699,-38.7124,-1036.04,435.866,-32.231,-1031.2,198.5,257.423,-1212.02,360.586,23.8879,-1028.96,49.8021,274.289,-1094.48,636.416,-59.2443,-1046.98,587.506,193.247,-1405.83,219.165,236.448,-1101.34,422.843,139.825,-1445.28,246.811,53.8672,-890.379,31.693,204.418,-1033.67,884.385,-0.31207,-1022.22,913.509
1.6,43.0589,-1203.96,914.433,139.662,-1206.75,907.604,178.266,-1343.59,82.4272,73.4211,-1079.05,22.2607,-39.6777,-1032.83,435.776,-32.798,-1030.21,198.271,257.141,-1187.1,363.177,23.8241,-1028.91,49.7779,273.804,-1080.09,637.719,-60.1021,-1041.31,587.809,193.011,-1380.86,221.966,236.508,-1077.43,425.051,139.298,-1420.89,248.423,53.7772,-890.151,31.4582,203.612,-1024.45,885.923,-1.19076,-1012.18,914.179
1.61,42.007,-1194.16,915.45,138.473,-1197.43,908.53,179.649,-1314.75,84.7031,73.3732,-1079.06,22.3726,-40.5652,-1029.68,435.663,-33.2789,-1029.17,198.051,256.713,-1162.5,365.828,23.8107,-1028.83,49.7664,273.431,-1065.83,639.301,-60.9177,-1035.71,588.036,192.791,-1355.28,223.403,236.515,-1053.96,427.723,138.807,-1396.02,248.42,53.7319,-889.905,31.235,202.815,-1015.3,887.463,-2.07705,-1002.29,914.691
1.62,41.0377,-1184.46,916.346,137.373,-1188.16,909.454,180.798,-1284.56,85.9493,73.3626,-1079.04,22.5048,-41.3792,-1026.56,435.538,-33.6747,-1028.07,197.845,256.168,-1138.27,368.447,23.8508,-1028.73,49.7636,273.153,-1051.66,641.125,-61.6945,-1030.16,588.195,192.614,-1329.13,223.431,236.459,-1030.99,430.797,138.416,-1370.73,246.802,53.7224,-889.641,31.0229,202.017,-1006.19,888.991,-2.97313,-992.521,915.052
1.63,40.1706,-1174.82,917.124,136.391,-1178.91,910.367,181.724,-1253.14,86.1871,73.3875,-1078.99,22.6572,-42.1254,-1023.46,435.408,-33.9917,-1026.93,197.658,255.541,-1114.45,370.924,23.9462,-1028.59,49.7626,272.962,-1037.53,643.15,-62.436,-1024.64,588.289,192.504,-1302.46,222.032,236.333,-1008.55,434.197,138.171,-1345.04,243.579,53.7384,-889.362,30.8203,201.213,-997.064,890.492,-3.87886,-982.863,915.271
1.64,39.4226,-1165.25,917.784,135.546,-1169.67,911.257,182.465,-1220.61,85.474,73.4445,-1078.92,22.8306,-42.8094,-1020.37,435.279,-34.2395,-1025.76,197.494,254.872,-1091.05,373.132,24.0974,-1028.43,49.7552,272.851,-1023.4,645.335,-63.1444,-1019.13,588.323,192.477,-1275.27,219.213,236.131,-986.682,437.834,138.102,-1318.94,238.772,53.7695,-889.071,30.6256,200.401,-987.903,891.951,-4.79162,-973.297,915.355
1.65,38.8073,-1155.71,918.327,134.855,-1160.39,912.105,183.08,-1187.03,83.8992,73.5283,-1078.81,23.0257,-43.4362,-1017.31,435.151,-34.4296,-1024.58,197.355,254.201,-1068.04,374.936,24.3023,-1028.24,49.7343,272.818,-1009.23,647.638,-63.8204,-1013.64,588.297,192.543,-1247.56,215.006,235.85,-965.402,441.613,138.217,-1292.38,232.42,53.8054,-888.772,30.4371,199.581,-978.679,893.35,-5.7064,-963.807,915.313
1.66,38.3351,-1146.21,918.753,134.329,-1151.07,912.895,183.642,-1152.48,81.5818,73.6336,-1078.69,23.2427,-44.0091,-1014.26,435.029,-34.5724,-1023.42,197.244,253.57,-1045.4,376.208,24.5559,-1028.03,49.6957,272.862,-995.03,650.02,-64.4646,-1008.17,588.215,192.711,-1219.3,209.473,235.497,-944.725,445.429,138.511,-1265.29,224.573,53.8365,-888.471,30.2538,198.758,-969.371,894.674,-6.61614,-954.379,915.15
